id;date;details;status;payment_method;payment_date;payment_amount
1;2019-08-22T12:32:17;Principal Pennsylvania dynamic;ISSUED;CREDIT_CARD;2019-08-22T07:47:30;49262
2;2019-08-22T12:07:48;grow;CANCELLED;PAYPAL;2019-08-22T12:31:06;96217
3;2019-08-22T08:36:47;Glen Refined;CANCELLED;CASH_ON_DELIVERY;2019-08-22T04:52:28;4315
4;2019-08-22T10:28:26;Sleek Frozen Chips Senior Optional;PAID;CREDIT_CARD;2019-08-22T08:59:51;90115
5;2019-08-22T00:31:41;Product;CANCELLED;PAYPAL;2019-08-22T02:41:39;46369
6;2019-08-22T08:54:00;Persevering analyzing;CANCELLED;PAYPAL;2019-08-22T03:45:06;68473
7;2019-08-22T11:42:56;Frozen;PAID;CASH_ON_DELIVERY;2019-08-22T16:13:57;93272
8;2019-08-21T21:10:43;Aruba Chair portals;ISSUED;CREDIT_CARD;2019-08-21T22:19:07;84211
9;2019-08-22T04:33:38;Practical Steel Shirt Plastic Movies;PAID;CREDIT_CARD;2019-08-22T04:10:30;76898
10;2019-08-22T00:47:30;program enhance Multi-channelled;PAID;CREDIT_CARD;2019-08-22T00:03:02;61812
