id;placed_date;status;code
1;2019-08-21T19:48:58;PENDING;Soap Tasty Metal Sausages Outdoors
2;2019-08-22T04:09:35;CANCELLED;North Carolina Granite
3;2019-08-21T22:44:59;PENDING;Branding Dynamic black
4;2019-08-22T16:33:13;CANCELLED;Ergonomic Rubber Chicken
5;2019-08-22T10:08:28;CANCELLED;quantifying Garden
6;2019-08-21T22:40:17;COMPLETED;Solomon Islands Dollar
7;2019-08-22T09:51:30;CANCELLED;intermediate Table quantify
8;2019-08-21T22:51:16;CANCELLED;Robust Louisiana
9;2019-08-21T21:24:28;COMPLETED;compress Fantastic Global
10;2019-08-22T06:05:33;COMPLETED;Fantastic Small Frozen Salad bypassing
