id;tracking_code;date;details
1;global;2019-08-22T15:29:35;Moroccan Dirham
2;Springs connecting;2019-08-22T10:49:55;connecting Planner Refined
3;engage Granite Grocery;2019-08-22T00:05:43;Credit Card Account transmitter cyan
4;Checking Account;2019-08-21T18:41:15;Home Loan Account withdrawal
5;partnerships International;2019-08-22T09:51:37;Berkshire solid state
6;middleware Switzerland;2019-08-22T01:28:31;back-end Via indexing
7;Business-focused Canyon Orchestrator;2019-08-22T06:23:45;concept payment
8;robust;2019-08-22T05:19:27;Creek
9;Shirt Metal;2019-08-22T02:50:15;Chicken
10;e-business RSS;2019-08-22T05:51:10;Officer Savings Account Automated
